Time,Latitude,Longitude,Altitude,Condutivity,DissolvedOxygen,RedoxPotential,Temperature,pH
1572037735.0,-32.07329435,-52.16438415,16.9081327244,294.799987793,28.1599998474,167.800003052,26.1270008087,10.9320001602
1572037740.0,-32.07326785,-52.16438035,16.8381077368,294.100006104,28.25,166.699996948,26.1200008392,10.9219999313
1572037745.5,-32.0732386,-52.16439095,16.8531200549,293.799987793,28.1000003815,166.5,26.0900001526,10.9379997253
1572037751.0,-32.0732107,-52.16440645,16.9281631574,293.600006104,28.5799999237,166.399993896,25.9610004425,10.9340000153
1572037756.0,-32.07318355,-52.16441985,16.8781857657,292.799987793,28.0699996948,166.300003052,25.9689998627,10.8819999695
1572037761.0,-32.07316765,-52.1644476,16.8732680794,292.700012207,27.7900009155,166.699996948,25.9750003815,10.9200000763
1572037766.0,-32.0731534,-52.16447795,16.8783257178,291.200012207,27.6700000763,166.399993896,25.9790000916,10.888999939
1572037771.5,-32.0731403,-52.164513,16.8384385739,290.700012207,27.1399993896,166.300003052,25.9629993439,10.8500003815
1572037777.0,-32.0731329,-52.16454535,16.7985068627,291.399993896,26.9899997711,166.199996948,25.8299999237,10.8360004425
1572037782.0,-32.07313295,-52.16457835,16.693586326,292.100006104,27.5499992371,166.100006104,25.8269996643,10.8489999771
1572037787.0,-32.0731321,-52.16460695,16.7136827168,291.799987793,28.1000003815,167.300003052,25.829000473,10.8520002365
1572037792.5,-32.0731348,-52.1646436,16.7687465249,291.5,28.0499992371,165.899993896,25.8299999237,10.8739995956
1572037798.0,-32.07314085,-52.1646793,16.5588692526,291.899993896,28.0900001526,166.100006104,25.8069992065,10.8710002899
1572037803.0,-32.07315695,-52.1647056,16.5889450207,292.5,28.1900005341,165.399993896,25.6779994965,10.8760004044
1572037808.0,-32.0731746,-52.16473745,16.5640367135,292.200012207,28.3099994659,165.199996948,25.829000473,10.9060001373
1572037813.0,-32.0731723,-52.1647699,16.6091226246,292.200012207,28.2199993134,165.5,25.8229999542,10.8920001984
1572037819.0,-32.07315955,-52.16480645,16.8242330201,292.5,28.1000003815,164.600006104,25.8159999847,10.8780002594
1572037824.0,-32.0731508,-52.1648368,16.6793166247,294.299987793,27.7399997711,165.0,25.8309993744,10.8520002365
